#F	time_to_stabilize
#F_graz: 0.393094
#stretch: 49
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.05802	0.354617
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.00571	0.525003
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.929035	0.693938
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.802272	0.886682
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.911246	0.725942
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.922208	0.706465
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.07309	0.284904
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.05447	0.369017
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.03894	0.425778
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.839015	0.838147
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.943094	0.667092
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.817228	0.867515
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.978933	0.591091
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.832895	0.846578
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.01406	0.502214
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.01528	0.498765
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -0.994806	0.553083
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.932533	0.687393
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.858853	0.809773
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.87998	0.777648
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.08126	0.238235
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.03182	0.449181
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.802241	0.886722
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.05635	0.36149
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.821661	0.861682
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.09451	0.129298
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.0719	0.29108
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.907332	0.732717
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.07284	0.286226
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.987989	0.569793
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.865023	0.800605
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.03086	0.452231
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.893695	0.755624
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.994058	0.554946
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.03313	0.444976
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.00494	0.527032
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.816266	0.868771
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.00623	0.52362
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.959411	0.633971
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.05521	0.36606
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.04524	0.403822
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.802505	0.88639
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.07244	0.288298
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.924174	0.702891
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.8354	0.843145
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.986495	0.573374
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.839455	0.837536
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.03021	0.454302
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.819028	0.865155
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.898308	0.747992
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.810185	0.876637
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.800284	0.889172
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.83013	0.85034
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.812426	0.873754
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.05663	0.360334
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.851791	0.820063
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.806938	0.880785
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.02853	0.459548
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.959123	0.634574
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.07978	0.247373
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.916516	0.716674
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.02415	0.472936
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.01064	0.511688
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.01021	0.512856
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.918204	0.713668
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.943771	0.665762
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.915153	0.719088
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.93447	0.683731
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.849997	0.822644
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.07456	0.277098
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.889681	0.762171
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.09524	0.120476
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.07707	0.263254
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.862121	0.80494
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.919411	0.711509
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.812468	0.8737
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.04862	0.391487
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.958866	0.635115
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.04267	0.412932
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.06764	0.312029
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.05717	0.358112
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.05286	0.375346
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.06793	0.310675
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.0873	0.196344
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.06528	0.32303
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.02456	0.471696
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.839095	0.838037
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.07222	0.289417
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.953086	0.64708
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -0.998218	0.544481
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.052	0.378677
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.0696	0.302577
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.922364	0.706182
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.962637	0.627146
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.979813	0.589064
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.04057	0.420237
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.806408	0.881459
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.09497	0.123844
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.875039	0.78535
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.856404	0.813366
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.06953	0.302928
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.964721	0.622685
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.851642	0.820279
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.0466	0.398909
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.02684	0.464754
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.971052	0.608869
#stretch: 7
#F: 0.287286	Period: 1
0.287286	268.764
#starting from: -1.05907	0.350262
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.975457	0.599017
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.829918	0.850627
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.00174	0.535427
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.9431	0.66708
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.08709	0.197963
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.954598	0.643977
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.911029	0.726322
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.0744	0.278002
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.919882	0.710662
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.835587	0.842888
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.81349	0.872378
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.892105	0.758229
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.988672	0.568145
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.01171	0.508743
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.844103	0.831025
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.958274	0.636353
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.834073	0.844967
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.00674	0.522245
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.838087	0.839435
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.07464	0.276681
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.01315	0.50475
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.833054	0.846362
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.849681	0.823097
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.06955	0.302818
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.802584	0.886291
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.0144	0.501245
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.821194	0.8623
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.04918	0.389372
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.941242	0.670713
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.992247	0.559427
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.00825	0.518189
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.816699	0.868207
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.02216	0.47885
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.909989	0.728129
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.959799	0.633154
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.00926	0.515458
#stretch: 7
#F: 0.287286	Period: 1
0.287286	268.764
#starting from: -1.06459	0.326204
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.029
#starting from: -1.07083	0.296496
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.983652	0.580114
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.88447	0.770546
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.806414	0.88145
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -0.997143	0.547209
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.976574	0.596484
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -0.995087	0.55238
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.908851	0.730099
#stretch: 5
#F: 0.287286	Period: 1
0.287286	281.33
#starting from: -1.02068	0.483234
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.853361	0.817795
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.942924	0.667426
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.927418	0.696934
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.891448	0.759301
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.917565	0.714808
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.840566	0.835987
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.924501	0.702292
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.967246	0.617223
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.810119	0.876722
#stretch: 49
#F: 0.287286	Period: 1
0.287286	319.03
#starting from: -0.927085	0.697548
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.881647	0.775024
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.831313	0.848734
#stretch: 49
#F: 0.287286	Period: 1
0.287286	312.746
#starting from: -0.876268	0.783446
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.02289	0.476698
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.02356	0.474695
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.08452	0.216685
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.03959	0.423593
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.945725	0.661902
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.894506	0.754292
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.899387	0.746191
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.854981	0.815441
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.859093	0.80942
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.870215	0.792756
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.03863	0.42683
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.943563	0.666172
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.876629	0.782884
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.935777	0.681247
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.820137	0.863696
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.07172	0.292007
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.04463	0.406017
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.04081	0.419391
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.825077	0.85714
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.887551	0.765611
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.868232	0.795768
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.916525	0.716659
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.00512	0.526569
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.908798	0.73019
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.04103	0.418662
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.872362	0.789473
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.918917	0.712393
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.868111	0.795952
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.954009	0.645188
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.950231	0.652882
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.944379	0.664564
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.876898	0.782467
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.87379	0.787278
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.928896	0.694196
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.816486	0.868485
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.01951	0.486629
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.0234	0.475169
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.915873	0.717815
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.0745	0.277462
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.08249	0.230296
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.986088	0.574346
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.01313	0.5048
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.926057	0.699441
#stretch: 7
#F: 0.288184	Period: 1
0.288184	268.764
#starting from: -1.06272	0.334562
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.848907	0.824205
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.946194	0.66097
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.03443	0.440764
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.09353	0.140313
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.887008	0.766484
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.05951	0.348397
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.881086	0.775908
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.955241	0.642653
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.876034	0.783808
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.0862	0.20463
#stretch: 7
#F: 0.288184	Period: 1
0.288184	268.764
#starting from: -1.06404	0.328677
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.81706	0.867734
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.858565	0.810198
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.882957	0.772951
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.885171	0.769427
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.01257	0.506348
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.03319	0.444802
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.02955	0.456359
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.08947	0.178884
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.806977	0.880735
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.858446	0.810373
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.805957	0.882031
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.02649	0.465822
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.08185	0.234481
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.92183	0.707149
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -1.00099	0.537374
#stretch: 7
#F: 0.288184	Period: 1
0.288184	268.764
#starting from: -1.06434	0.327315
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.807918	0.879537
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.914119	0.720912
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.890399	0.761008
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.07064	0.297461
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.963025	0.626317
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.03659	0.433663
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.00507	0.526697
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.95656	0.639923
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.823601	0.859108
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.964578	0.622992
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.03765	0.430153
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.978842	0.591302
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.04061	0.420087
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.02385	0.473832
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.942881	0.66751
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.05767	0.356063
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.08241	0.230828
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.02584	0.467821
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.842844	0.832798
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.994986	0.552631
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.959024	0.634782
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.07239	0.288534
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.984458	0.578214
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.966002	0.619922
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.830839	0.849378
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.990416	0.563914
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.892494	0.757593
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.812686	0.873418
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.812246	0.873986
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.09348	0.140873
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.07703	0.263485
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.820164	0.86366
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.907601	0.732254
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.867426	0.796987
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.0908	0.167279
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.07063	0.297503
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.804019	0.884483
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.995867	0.550424
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.927186	0.697361
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.82762	0.853729
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.860445	0.807424
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.864832	0.800891
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.00646	0.52299
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.801057	0.888206
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.08868	0.185452
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.849343	0.823581
#stretch: 5
#F: 0.288184	Period: 1
0.288184	281.33
#starting from: -1.05873	0.351674
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.07109	0.295163
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.07518	0.273759
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.801573	0.887559
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.966079	0.619754
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.03
#starting from: -0.934205	0.684235
#stretch: 49
#F: 0.288184	Period: 1
0.288184	319.029
#starting from: -1.07397	0.280293
#stretch: 49
#F: 0.288184	Period: 1
0.288184	312.746
#starting from: -0.850537	0.821867
