#G	time_to_stabilize
#G_graz: 0.0578561
0.18	149.652
#starting from: -8.75917	-8.04422
0.18	149.652
#starting from: -8.62768	-7.99839
0.18	149.652
#starting from: -7.03315	-7.19384
0.18	149.652
#starting from: -8.39103	-8.31435
0.18	149.652
#starting from: -8.13056	-7.10428
0.18	149.652
#starting from: -8.50171	-8.60412
0.18	149.652
#starting from: -8.53246	-7.54236
0.18	149.652
#starting from: -7.01468	-8.96846
0.18	149.652
#starting from: -8.67792	-7.95157
0.18	149.652
#starting from: -7.73149	-7.53218
0.18	149.652
#starting from: -7.98895	-7.38152
0.18	149.652
#starting from: -8.05055	-7.21695
0.18	149.652
#starting from: -7.70077	-7.7733
0.18	149.652
#starting from: -8.58822	-8.91061
0.18	149.652
#starting from: -7.13738	-7.10546
0.18	149.652
#starting from: -7.0847	-8.70497
0.18	149.652
#starting from: -7.64669	-7.26644
0.18	149.652
#starting from: -7.27064	-8.76417
0.18	149.652
#starting from: -7.50891	-7.1763
0.18	149.652
#starting from: -7.48167	-8.47017
0.18	149.652
#starting from: -8.78283	-8.85934
0.18	149.652
#starting from: -8.72929	-7.00496
0.18	149.652
#starting from: -8.60096	-8.65595
0.18	149.652
#starting from: -7.23505	-7.38468
0.18	149.652
#starting from: -8.46673	-7.94051
0.18	149.652
#starting from: -8.26573	-8.58787
0.18	149.652
#starting from: -7.99364	-7.45118
0.18	149.652
#starting from: -8.26521	-8.56785
0.18	149.652
#starting from: -7.31377	-8.18387
0.18	149.652
#starting from: -7.70663	-7.69093
0.18	149.652
#starting from: -8.22525	-7.18458
0.18	149.652
#starting from: -8.34769	-8.439
0.18	149.652
#starting from: -7.5037	-7.09926
0.18	149.652
#starting from: -7.55179	-8.9113
0.18	149.652
#starting from: -8.28	-8.2817
0.18	149.652
#starting from: -7.65208	-8.55614
0.18	149.652
#starting from: -7.01684	-8.45576
0.18	149.652
#starting from: -8.37812	-7.54275
0.18	149.652
#starting from: -8.12534	-7.53452
0.18	149.652
#starting from: -8.89668	-7.71923
0.18	149.652
#starting from: -8.57971	-7.84429
0.18	149.652
#starting from: -7.04774	-8.79707
0.18	149.652
#starting from: -8.4787	-8.11191
0.18	149.652
#starting from: -8.26777	-8.51994
0.18	149.652
#starting from: -7.16638	-8.84337
0.18	149.652
#starting from: -8.24361	-7.58511
0.18	149.652
#starting from: -7.76572	-8.60677
0.18	149.652
#starting from: -7.26356	-8.47897
0.18	149.652
#starting from: -8.20964	-7.22729
0.18	149.652
#starting from: -8.28203	-7.98159
0.18	149.652
#starting from: -7.8488	-8.77175
0.18	149.652
#starting from: -7.55248	-8.65002
0.18	149.652
#starting from: -7.31547	-8.09884
0.18	149.652
#starting from: -8.48343	-8.33922
0.18	149.652
#starting from: -7.54377	-7.1202
0.18	149.652
#starting from: -7.03288	-7.1084
0.18	149.652
#starting from: -7.54253	-8.36555
0.18	149.652
#starting from: -7.69683	-8.25996
0.18	149.652
#starting from: -8.39357	-7.27039
0.18	149.652
#starting from: -8.81369	-8.77324
0.18	149.652
#starting from: -8.93899	-8.99076
0.18	149.652
#starting from: -7.95157	-8.14171
0.18	149.652
#starting from: -8.64861	-8.38246
0.18	149.652
#starting from: -8.97414	-7.30356
0.18	149.652
#starting from: -7.03048	-8.01096
0.18	149.652
#starting from: -7.34789	-7.11873
0.18	149.652
#starting from: -8.19027	-7.82288
0.18	149.652
#starting from: -8.74492	-8.01022
0.18	149.652
#starting from: -8.83097	-7.96152
0.18	149.652
#starting from: -7.94656	-7.55508
0.18	149.652
#starting from: -7.60847	-8.40788
0.18	149.652
#starting from: -8.49821	-8.04622
0.18	149.652
#starting from: -7.06005	-8.56895
0.18	149.652
#starting from: -7.17222	-7.25089
0.18	149.652
#starting from: -7.15963	-7.08607
0.18	149.652
#starting from: -7.01357	-7.9531
0.18	149.652
#starting from: -7.04322	-8.38248
0.18	149.652
#starting from: -7.80333	-7.67437
0.18	149.652
#starting from: -8.18028	-8.7155
0.18	149.652
#starting from: -7.55008	-8.37469
0.18	149.652
#starting from: -7.03364	-8.26307
0.18	149.652
#starting from: -8.09005	-7.50918
0.18	149.652
#starting from: -7.79835	-7.26217
0.18	149.652
#starting from: -7.72966	-8.00767
0.18	149.652
#starting from: -7.06333	-7.86883
0.18	149.652
#starting from: -7.00404	-8.30542
0.18	149.652
#starting from: -7.65565	-8.22622
0.18	149.652
#starting from: -8.8228	-7.05015
0.18	149.652
#starting from: -7.69728	-8.65781
0.18	149.652
#starting from: -7.16933	-8.6345
0.18	149.652
#starting from: -7.98094	-8.32517
0.18	149.652
#starting from: -8.95553	-7.82072
0.18	149.652
#starting from: -8.14805	-8.68242
0.18	149.652
#starting from: -7.71599	-7.47259
0.18	149.652
#starting from: -8.53633	-8.47301
0.18	149.652
#starting from: -8.53909	-8.12438
0.18	149.652
#starting from: -8.16405	-7.3407
0.18	149.652
#starting from: -7.79388	-8.82203
0.18	149.652
#starting from: -8.46411	-7.15295
0.18	149.652
#starting from: -8.5917	-7.82656
0.18	149.652
#starting from: -7.19975	-8.39244
0.18	149.652
#starting from: -8.19924	-7.2985
0.18	149.652
#starting from: -8.098	-8.48361
0.18	149.652
#starting from: -8.57111	-7.41382
0.18	149.652
#starting from: -7.01705	-8.64968
0.18	149.652
#starting from: -8.65218	-8.88531
0.18	149.652
#starting from: -8.92335	-8.63593
0.18	149.652
#starting from: -7.02215	-7.6825
0.18	149.652
#starting from: -7.36657	-8.20113
0.18	149.652
#starting from: -8.39974	-8.71626
0.18	124.52
#starting from: -7.0042	-7.00236
0.18	149.652
#starting from: -7.47286	-7.41022
0.18	149.652
#starting from: -8.56797	-8.47421
0.18	149.652
#starting from: -7.13064	-8.94592
0.18	149.652
#starting from: -7.79028	-7.06195
0.18	149.652
#starting from: -8.55952	-8.64895
0.18	149.652
#starting from: -8.31809	-8.90446
0.18	149.652
#starting from: -8.84544	-8.07305
0.18	149.652
#starting from: -7.78079	-8.29609
0.18	149.652
#starting from: -7.21136	-8.5295
0.18	149.652
#starting from: -7.157	-7.5352
0.18	149.652
#starting from: -7.79583	-7.92062
0.18	149.652
#starting from: -8.47126	-8.12085
0.18	149.652
#starting from: -8.15175	-7.48947
0.18	149.652
#starting from: -8.55611	-8.7582
0.18	149.652
#starting from: -8.74073	-8.99612
0.18	149.652
#starting from: -8.49032	-7.04638
0.18	149.652
#starting from: -7.72857	-8.10363
0.18	149.652
#starting from: -7.48033	-8.63859
0.18	149.652
#starting from: -8.09037	-7.14775
0.18	149.652
#starting from: -7.58155	-7.82203
0.18	149.652
#starting from: -8.26064	-7.15493
0.18	149.652
