0.100499 546.762391892 405.325895524
0.101499 399.9704 249.389064244
0.102499 393.21358 251.0328886
0.103499 349.083213333 203.406581572
0.104499 334.506913333 192.13487387
0.105499 342.446763333 209.360952045
0.106499 305.361866667 162.889180771
0.107499 307.935763333 186.579991116
0.108499 293.61297 171.17721009
0.109499 253.27774 115.096118812
0.110499 285.576153333 159.478030904
0.111499 238.077123333 120.44634301
0.111999 242.266686667 125.974429494
0.112999 215.712023333 99.9286269529
0.113999 204.907213333 92.2558699258
0.114999 223.4661 110.727503881
0.115999 227.0708 116.141883712
0.116999 206.696216667 94.4478552306
0.117999 196.182983333 95.6992063321
0.118999 189.88135 89.8820111523
0.119999 175.6626 74.5047537523
0.120999 182.618376667 80.1054697058
0.121999 174.264063333 67.2619941306
0.122999 165.972533333 53.6845436295
0.123999 169.07456 53.5574283054
0.124499 150.24719 42.9867737137
0.125499 150.584516667 46.0340569961
0.126499 150.921733333 41.5883677712
0.127499 143.551926667 44.0980293296
0.128499 139.344453333 43.9168875815
0.129499 130.571313333 34.7300541315
0.130499 133.757073333 41.0688992743
0.131499 133.738426667 44.332296308
0.132499 139.102226667 62.1947183531
0.133499 143.79589 81.0756878058
0.134499 135.04396 53.0273580564
0.135499 133.244993333 45.2243415991
0.136499 130.796626667 39.438622557
0.136999 126.923106667 36.6721465457
0.137999 132.999026667 36.8255087181
0.138999 126.550436667 32.4603761382
0.139999 122.259126667 26.8340496526
0.140999 119.266406667 24.4089830859
0.141999 112.566826667 21.415962646
0.142999 107.793916667 18.4339247124
0.143999 106.18369 16.4379046364
0.144999 103.965723333 15.8690961986
0.145999 103.00468 15.4703338084
0.146999 100.786916667 15.086896706
0.147999 98.7786233333 15.1480568101
0.148999 99.0320633333 16.0245664095
0.149499 98.5095333333 15.5686075899
0.150499 96.1450666667 14.801751094
0.151499 96.1263833333 15.325736606
0.152499 96.8198933333 16.0187100056
0.153499 95.6910933333 14.2313657072
0.154499 94.98148 14.9382622757
0.155499 93.41312 14.189345037
0.156499 93.7504366667 11.5480718973
0.157499 91.4697733333 10.64258873
0.158499 90.5084533333 8.84332759851
0.159499 89.0654033333 9.59286485887
0.160499 89.63319 10.0545647226
0.161499 88.8606166667 10.5775406976
0.161999 89.21783 10.755447122
0.162999 88.1939 11.0860076579
0.163999 88.78231 11.0674354193
0.164999 88.97294 11.2271487052
0.165999 87.5931133333 11.3744127699
0.166999 89.22885 11.2577248551
0.167999 88.9795766667 11.3323315717
0.168999 87.1388566667 10.7434251709
0.169999 86.7012933333 11.2217525655
0.170999 85.6143266667 10.7257578048
0.171999 83.8995733333 9.47828610868
0.172999 82.68726 7.2349178783
0.173999 83.21303 6.70364555466
0.174499 83.3397366667 6.34824315493
0.175499 84.3052533333 5.02751000488
0.176499 83.5531633333 5.48909919598
0.177499 82.2773566667 5.91794211665
0.178499 82.0070433333 6.00219214021
0.179499 79.2653533333 5.94600989363
0.180499 76.7748566667 4.53158723365
0.181499 74.6402733333 1.49275755074
0.182499 74.265 2.86102294922e-06
0.183499 74.267 2.86102294922e-06
0.184499 74.2690033333 5.75374722633e-05
0.185499 74.2716766667 0.000467645751092
0.186499 74.274 0
