#G	time_to_stabilize
#G_graz: 0.0578561
0.24	105.796
#starting from: -8.45204	-8.55911
0.24	105.796
#starting from: -7.28303	-7.45901
0.24	105.796
#starting from: -8.83143	-7.94764
0.24	105.796
#starting from: -8.87803	-7.21606
0.24	105.796
#starting from: -8.18084	-8.62864
0.24	105.796
#starting from: -8.75192	-7.90481
0.24	105.796
#starting from: -7.78837	-8.71362
0.24	105.796
#starting from: -8.06427	-7.57415
0.24	105.796
#starting from: -8.30477	-7.68862
0.24	105.796
#starting from: -7.221	-8.27713
0.24	105.796
#starting from: -7.325	-7.63781
0.24	105.796
#starting from: -8.93555	-7.24777
0.24	105.796
#starting from: -7.07309	-7.33217
0.24	105.796
#starting from: -8.98203	-8.70822
0.24	105.796
#starting from: -7.7173	-8.56815
0.24	105.796
#starting from: -7.50892	-8.52328
0.24	105.796
#starting from: -7.00909	-8.96345
0.24	105.796
#starting from: -8.61504	-7.04981
0.24	105.796
#starting from: -8.01249	-8.87657
0.24	105.796
#starting from: -8.52455	-8.56592
0.24	105.796
#starting from: -8.59668	-8.4915
0.24	105.796
#starting from: -8.88978	-8.46231
0.24	105.796
#starting from: -7.55288	-8.36277
0.24	105.796
#starting from: -7.77051	-7.08026
0.24	105.796
#starting from: -7.7789	-8.42935
0.24	105.796
#starting from: -8.26353	-8.85138
0.24	105.796
#starting from: -8.41278	-8.35393
0.24	105.796
#starting from: -8.18077	-8.1971
0.24	105.796
#starting from: -8.19843	-7.62276
0.24	105.796
#starting from: -7.38424	-8.07241
0.24	105.796
#starting from: -8.23239	-7.36562
0.24	105.796
#starting from: -8.08507	-7.31818
0.24	105.796
#starting from: -7.6851	-8.57797
0.24	105.796
#starting from: -7.08199	-7.24016
0.24	105.796
#starting from: -7.19318	-8.63386
0.24	105.796
#starting from: -7.89092	-8.95974
0.24	105.796
#starting from: -7.88301	-8.27681
0.24	105.796
#starting from: -7.17491	-8.33047
0.24	105.796
#starting from: -8.73476	-7.45852
0.24	105.796
#starting from: -8.29354	-8.69095
0.24	105.796
#starting from: -7.93692	-8.76812
0.24	105.796
#starting from: -8.61756	-7.95502
0.24	105.796
#starting from: -8.75615	-7.64149
0.24	105.796
#starting from: -7.83557	-8.80814
0.24	105.796
#starting from: -7.96114	-7.05745
0.24	105.796
#starting from: -8.87031	-7.45517
0.24	105.796
#starting from: -7.11298	-7.47623
0.24	105.796
#starting from: -7.43501	-8.75213
0.24	105.796
#starting from: -8.65549	-7.14134
0.24	105.796
#starting from: -7.49566	-7.50873
0.24	105.796
#starting from: -7.12355	-7.79837
0.24	105.796
#starting from: -8.63852	-8.90056
0.24	105.796
#starting from: -8.16729	-7.89053
0.24	105.796
#starting from: -8.44245	-8.71475
0.24	105.796
#starting from: -7.75884	-8.64175
0.24	105.796
#starting from: -7.41571	-7.23691
0.24	105.796
#starting from: -8.29306	-8.94804
0.24	105.796
#starting from: -7.04546	-8.53192
0.24	105.796
#starting from: -7.83161	-7.34406
0.24	105.796
#starting from: -8.00379	-7.85378
0.24	105.796
#starting from: -7.10085	-8.22061
0.24	105.796
#starting from: -7.98629	-8.82457
0.24	105.796
#starting from: -7.82948	-8.0823
0.24	105.796
#starting from: -7.0119	-7.75105
0.24	105.796
#starting from: -7.9383	-7.569
0.24	105.796
#starting from: -7.33363	-8.99885
0.24	105.796
#starting from: -8.89415	-7.72825
0.24	105.796
#starting from: -8.06841	-7.44255
0.24	105.796
#starting from: -7.78556	-7.13043
0.24	124.645
#starting from: -8.96348	-8.96782
0.24	105.796
#starting from: -8.24685	-7.563
0.24	105.796
#starting from: -8.24016	-7.18206
0.24	105.796
#starting from: -8.41246	-7.39666
0.24	105.796
#starting from: -7.58912	-7.10057
0.24	105.796
#starting from: -8.16666	-7.05405
0.24	105.796
#starting from: -8.03682	-7.14223
0.24	105.796
#starting from: -8.467	-8.2633
0.24	105.796
#starting from: -7.48133	-8.97151
0.24	105.796
#starting from: -7.4444	-7.54351
0.24	105.796
#starting from: -8.78144	-7.56925
0.24	105.796
#starting from: -7.00079	-7.98234
0.24	105.796
#starting from: -8.44455	-8.47988
0.24	105.796
#starting from: -7.08721	-8.4675
0.24	105.796
#starting from: -7.95636	-7.32937
0.24	105.796
#starting from: -7.02383	-8.07972
0.24	105.796
#starting from: -7.41717	-7.37011
0.24	105.796
#starting from: -7.29903	-8.50193
0.24	105.796
#starting from: -7.81059	-8.15377
0.24	105.796
#starting from: -7.94296	-8.26615
0.24	105.796
#starting from: -7.95556	-8.63931
0.24	105.796
#starting from: -7.99261	-8.20869
0.24	105.796
#starting from: -7.37712	-8.59486
0.24	105.796
#starting from: -8.01549	-7.74834
0.24	105.796
#starting from: -7.75608	-8.8176
0.24	105.796
#starting from: -7.35167	-8.28892
0.24	105.796
#starting from: -8.8426	-8.40436
0.24	105.796
#starting from: -7.65258	-8.95494
0.24	105.796
#starting from: -8.24738	-7.98184
0.24	105.796
#starting from: -7.80012	-8.80666
0.24	105.796
#starting from: -7.61256	-7.02036
0.24	105.796
#starting from: -7.12359	-7.60841
0.24	105.796
#starting from: -7.09464	-8.52911
0.24	105.796
#starting from: -8.68706	-8.94264
0.24	105.796
#starting from: -8.13412	-8.00892
0.24	105.796
#starting from: -7.30494	-7.93721
0.24	105.796
#starting from: -8.73963	-8.52898
0.24	105.796
#starting from: -7.08207	-8.42977
0.24	105.796
#starting from: -8.75716	-8.61789
0.24	105.796
#starting from: -8.97519	-8.69021
0.24	105.796
#starting from: -8.55746	-7.46996
0.24	105.796
#starting from: -8.05076	-7.82233
0.24	105.796
#starting from: -7.6793	-7.25038
0.24	105.796
#starting from: -7.68722	-8.75856
0.24	105.796
#starting from: -8.44313	-8.19971
0.24	105.796
#starting from: -8.13044	-8.54344
0.24	105.796
#starting from: -7.31129	-8.45161
0.24	105.796
#starting from: -7.08541	-7.61055
0.24	105.796
#starting from: -8.67665	-8.26218
0.24	105.796
#starting from: -7.31117	-7.6636
0.24	105.796
#starting from: -7.40249	-7.76197
0.24	105.796
#starting from: -7.90045	-8.91933
0.24	105.796
#starting from: -7.91366	-7.74671
0.24	105.796
#starting from: -8.25887	-7.41479
0.24	105.796
#starting from: -7.08009	-7.52721
0.24	105.796
#starting from: -8.18406	-7.80009
0.24	105.796
#starting from: -7.56091	-7.08413
0.24	105.796
#starting from: -7.03761	-8.87149
0.24	105.796
#starting from: -7.93816	-8.39969
0.24	105.796
#starting from: -8.1669	-7.56673
0.24	105.796
#starting from: -7.21217	-7.19527
0.24	105.796
#starting from: -8.43697	-7.81948
0.24	105.796
#starting from: -7.55137	-8.26202
0.24	105.796
#starting from: -8.92939	-8.6276
0.24	105.796
#starting from: -7.29486	-7.98322
0.24	105.796
#starting from: -7.0388	-8.7953
0.24	105.796
#starting from: -7.85667	-7.892
0.24	105.796
#starting from: -7.83948	-8.03615
0.24	105.796
#starting from: -7.92177	-7.06373
0.24	105.796
#starting from: -7.44115	-8.00331
0.24	105.796
#starting from: -7.3324	-7.55594
0.24	105.796
#starting from: -7.63941	-7.58811
0.24	105.796
#starting from: -7.86004	-7.42581
0.24	105.796
#starting from: -7.13352	-8.97458
0.24	105.796
#starting from: -7.40185	-8.08965
0.24	105.796
#starting from: -7.17949	-8.42491
0.24	105.796
#starting from: -7.59776	-8.65148
0.24	105.796
#starting from: -7.13747	-8.93179
0.24	105.796
#starting from: -7.13885	-7.67443
0.24	105.796
#starting from: -8.37716	-7.4377
0.24	105.796
#starting from: -7.30743	-7.85058
0.24	105.796
#starting from: -7.13106	-7.40284
0.24	105.796
#starting from: -7.3552	-7.94763
0.24	105.796
#starting from: -8.93443	-7.38129
0.24	105.796
#starting from: -8.06889	-8.88993
0.24	105.796
#starting from: -8.27884	-7.60229
0.24	105.796
#starting from: -8.0008	-7.18799
0.24	105.796
#starting from: -7.2946	-7.08594
0.24	105.796
#starting from: -7.59526	-7.65
0.24	105.796
#starting from: -8.65904	-8.43931
0.24	105.796
#starting from: -8.72855	-8.60182
0.24	105.796
#starting from: -8.61112	-7.02456
0.24	105.796
#starting from: -8.45498	-7.10862
0.24	105.796
#starting from: -7.47545	-8.16681
0.24	105.796
#starting from: -8.81546	-7.51574
0.24	105.796
#starting from: -7.02754	-8.4407
0.24	105.796
#starting from: -8.26855	-7.83751
0.24	105.796
#starting from: -8.28699	-7.1089
0.24	105.796
#starting from: -7.12914	-7.28252
0.24	105.796
#starting from: -8.90073	-8.79649
0.24	105.796
#starting from: -7.597	-7.87478
0.24	105.796
#starting from: -8.59932	-8.61832
0.24	105.796
#starting from: -8.09781	-7.58919
0.24	105.796
#starting from: -8.45864	-7.67657
0.23915	105.794
#starting from: -7.32205	-7.76477
0.23915	105.794
#starting from: -8.69018	-8.97884
0.23915	105.794
