#G	time_to_stabilize
#G_graz: 0.0578561
#starting from: -8.15692	-8.644
0.115475	180.93
#starting from: -8.90707	-7.44459
0.115475	287.744
#starting from: -8.33344	-7.2056
0.115475	187.213
#starting from: -8.12782	-8.01765
0.115475	237.478
#starting from: -7.28671	-8.6349
0.115475	457.39
#starting from: -8.29425	-8.33485
0.115475	187.213
#starting from: -7.9501	-8.2585
0.115475	256.328
#starting from: -8.59039	-7.44457
0.115475	262.611
#starting from: -7.03898	-8.32356
0.115475	262.611
#starting from: -7.75262	-7.32649
0.115475	262.611
#starting from: -7.80139	-7.79171
0.115475	237.478
#starting from: -7.59039	-8.04079
0.115475	338.009
#starting from: -7.1467	-8.55659
0.115475	633.319
#starting from: -7.17412	-8.38965
0.115475	432.257
#starting from: -8.27266	-8.83767
0.115475	287.744
#starting from: -7.09881	-8.98593
0.115475	262.611
#starting from: -7.83344	-8.23267
0.115475	834.381
#starting from: -8.36717	-7.85223
0.115475	413.408
#starting from: -7.18403	-7.99109
0.115475	363.142
#starting from: -7.42681	-8.61464
0.115475	237.478
#starting from: -7.85212	-7.72633
0.115475	237.478
#starting from: -7.40909	-7.42616
0.115475	231.195
#starting from: -8.61647	-7.77686
0.115475	438.54
#starting from: -7.48979	-8.05413
0.115475	262.611
#starting from: -7.55648	-8.43094
0.115475	413.408
#starting from: -7.6516	-8.63622
0.115475	363.142
#starting from: -8.50024	-7.09686
0.115475	231.195
#starting from: -8.50582	-8.039
0.115475	262.611
#starting from: -7.80507	-7.65322
0.115475	262.611
#starting from: -7.74112	-8.58262
0.115475	237.478
#starting from: -8.02612	-7.71543
0.115475	363.142
#starting from: -7.50731	-7.97255
0.115475	231.195
#starting from: -8.84581	-7.99907
0.115475	237.478
#starting from: -8.02644	-7.38637
0.115475	312.877
#starting from: -8.36946	-7.69467
0.115475	388.275
#starting from: -7.50057	-8.61614
0.115475	212.346
#starting from: -7.17431	-8.95051
0.115475	287.744
#starting from: -7.02379	-7.40583
0.115475	281.461
#starting from: -7.90914	-8.91302
0.115475	262.611
#starting from: -7.44623	-8.82778
0.115475	381.992
#starting from: -7.75598	-8.84058
0.115475	363.142
#starting from: -7.8235	-7.56661
0.115475	432.257
#starting from: -8.33981	-8.141
0.115475	237.478
#starting from: -7.90316	-7.59088
0.115475	338.009
#starting from: -8.00925	-8.03426
0.115475	482.523
#starting from: -8.2226	-8.28511
0.115475	381.992
#starting from: -8.4842	-7.74206
0.115475	237.478
#starting from: -7.89493	-7.69779
0.115475	388.275
#starting from: -7.60438	-8.08245
0.115475	237.478
#starting from: -8.35984	-7.73128
0.115475	388.275
#starting from: -7.37463	-7.08518
0.115475	564.204
#starting from: -7.19542	-7.19812
0.115475	363.142
#starting from: -7.77007	-8.38971
0.115475	363.142
#starting from: -7.33972	-8.76305
0.115475	312.877
#starting from: -7.73279	-8.06391
0.115475	281.461
#starting from: -8.14484	-8.6467
0.115475	306.593
#starting from: -8.88378	-7.05482
0.115475	532.788
#starting from: -8.74498	-8.84193
0.115475	338.009
#starting from: -7.29765	-7.81891
0.115475	256.328
#starting from: -8.36846	-8.99004
0.115475	180.93
#starting from: -8.29241	-8.60632
0.115475	312.877
#starting from: -7.34227	-7.60287
0.115475	438.54
#starting from: -8.32096	-7.5328
0.115475	363.142
#starting from: -7.10662	-8.08951
0.115475	583.054
#starting from: -8.15858	-8.38482
0.115475	413.408
#starting from: -7.89919	-7.39237
0.115475	306.594
#starting from: -8.32688	-8.16821
0.115475	312.877
#starting from: -8.08215	-7.50568
0.115475	463.673
#starting from: -7.31383	-7.19444
0.115475	356.859
#starting from: -8.77616	-7.86065
0.115475	187.213
#starting from: -8.20783	-7.85956
0.115475	488.806
#starting from: -7.53538	-8.16285
0.115475	180.93
#starting from: -8.88934	-8.72065
0.115475	507.655
#starting from: -8.31519	-8.11019
0.115475	180.93
#starting from: -8.92851	-7.43758
0.115475	212.346
#starting from: -7.49388	-8.39274
0.115475	438.54
#starting from: -7.2747	-8.37537
0.115475	312.877
#starting from: -7.99753	-8.39228
0.115475	212.346
#starting from: -8.07335	-7.29627
0.115475	338.009
#starting from: -7.52101	-7.52342
0.115475	237.479
#starting from: -7.57062	-8.30258
0.115475	287.744
#starting from: -7.76513	-7.1511
0.115475	539.071
#starting from: -7.51482	-7.50628
0.115475	381.992
#starting from: -8.99444	-7.02871
0.115475	212.346
#starting from: -7.26916	-8.92551
0.115475	231.195
#starting from: -8.87527	-7.95908
0.115475	237.478
#starting from: -7.6916	-7.39671
0.115475	312.877
#starting from: -7.56859	-7.69945
0.115475	407.124
#starting from: -8.69102	-7.1267
0.115475	231.195
#starting from: -8.76792	-8.65693
0.115475	187.213
#starting from: -7.56741	-8.90987
0.115475	312.877
#starting from: -7.84044	-8.60819
0.115475	212.346
#starting from: -7.09795	-7.04529
0.115475	338.009
#starting from: -7.43777	-7.19341
0.115475	589.337
#starting from: -7.94213	-7.48226
0.115475	633.319
#starting from: -7.40322	-8.02266
0.115475	287.744
#starting from: -7.37897	-7.63262
0.115475	306.594
#starting from: -8.41024	-8.25563
0.115475	212.346
#starting from: -7.01563	-7.83054
0.115475	539.071
#starting from: -7.72244	-7.83962
0.115475	583.054
#starting from: -8.17528	-8.1737
0.115475	206.063
#starting from: -8.76177	-7.54112
0.115475	237.478
#starting from: -7.00835	-7.92064
0.115475	583.054
#starting from: -8.44782	-7.68777
0.115475	212.346
#starting from: -7.21413	-7.05021
0.115475	187.213
#starting from: -8.31889	-7.61163
0.115475	237.478
#starting from: -7.47754	-7.39437
0.115475	262.611
#starting from: -7.62365	-7.24531
0.115475	438.54
#starting from: -7.99731	-7.22029
0.115475	664.735
#starting from: -7.74678	-8.78122
0.115475	212.346
#starting from: -7.02019	-7.15554
0.115475	237.479
#starting from: -7.45218	-8.4874
0.115475	262.611
#starting from: -7.31834	-7.97763
0.115475	287.744
#starting from: -7.29295	-7.92706
0.115475	583.054
#starting from: -8.2671	-8.02737
0.115475	262.611
#starting from: -7.61876	-8.56422
0.115475	262.611
#starting from: -7.6131	-7.56539
0.115475	539.071
#starting from: -7.30926	-7.77147
0.115475	287.744
#starting from: -7.71089	-7.34591
0.115475	180.93
#starting from: -8.32082	-8.53337
0.115475	237.478
#starting from: -7.97282	-7.80394
0.115475	306.593
#starting from: -8.70656	-8.35619
0.115475	356.859
#starting from: -8.79905	-8.36482
0.115475	312.877
#starting from: -7.02584	-7.63798
0.115475	432.257
#starting from: -8.39163	-8.04021
0.115475	338.009
#starting from: -7.7358	-8.28767
0.115475	633.319
#starting from: -7.92261	-7.22307
0.115475	206.062
#starting from: -8.81098	-7.98392
0.115475	262.611
#starting from: -7.0504	-7.5181
0.115475	363.142
#starting from: -8.57492	-7.00888
0.115475	237.478
#starting from: -8.11932	-7.67766
0.115475	262.611
#starting from: -7.75987	-7.74653
0.115475	539.071
#starting from: -7.57421	-7.67844
0.115475	633.319
#starting from: -8.35387	-8.72908
0.115475	306.594
#starting from: -7.8262	-8.97723
0.115475	589.337
#starting from: -8.21012	-7.42047
0.115475	740.133
#starting from: -7.31441	-7.40744
0.115475	281.461
#starting from: -8.24937	-7.97948
0.115475	463.673
#starting from: -8.2469	-7.37815
0.115475	689.868
#starting from: -7.90982	-7.35737
0.115475	312.877
#starting from: -8.04783	-8.03665
0.115475	715.001
#starting from: -7.05034	-8.61412
0.115475	306.593
#starting from: -8.8336	-8.42011
0.115475	438.54
#starting from: -7.2114	-8.46044
0.115475	306.593
#starting from: -7.96524	-8.50901
0.115475	664.735
#starting from: -7.20149	-7.48367
0.115475	381.992
#starting from: -8.98	-7.04241
0.115475	733.85
#starting from: -8.81699	-7.42972
0.115475	287.744
#starting from: -7.03048	-8.74819
0.115475	463.673
#starting from: -7.83932	-7.7452
0.115475	715.001
#starting from: -7.84555	-7.42124
0.115475	262.611
#starting from: -7.65569	-8.50659
0.115475	256.328
#starting from: -7.96613	-8.94233
0.115475	237.479
#starting from: -7.27341	-8.60094
0.115475	237.478
#starting from: -7.18027	-8.10353
0.115475	432.257
#starting from: -8.85155	-7.73885
0.115475	312.877
#starting from: -7.82885	-7.60335
0.115475	413.408
#starting from: -7.19854	-7.39991
0.115475	256.328
#starting from: -7.7632	-8.95101
0.115475	206.062
#starting from: -8.54644	-7.96167
0.115475	237.478
#starting from: -7.19626	-7.32966
0.115475	262.611
#starting from: -7.813	-7.64669
0.115475	187.213
#starting from: -7.70929	-8.67553
0.115475	608.186
#starting from: -8.73048	-7.09292
0.115475	237.478
#starting from: -7.80084	-7.2352
0.115475	187.213
#starting from: -8.59644	-7.14914
0.115475	287.744
#starting from: -7.61924	-8.00379
0.115475	715.001
#starting from: -7.80635	-7.48511
0.115475	237.478
#starting from: -7.15719	-8.1418
0.115475	262.611
#starting from: -7.79841	-7.2666
0.115475	583.054
#starting from: -8.263	-8.04437
0.115475	237.478
#starting from: -7.56557	-8.38551
0.115475	413.408
#starting from: -7.55184	-7.35842
0.115475	180.93
#starting from: -8.7543	-7.67118
0.115475	212.346
#starting from: -7.17405	-7.64576
0.115475	237.479
#starting from: -7.04347	-7.76944
0.115475	363.142
#starting from: -8.04868	-7.07818
0.115475	237.478
#starting from: -8.54657	-7.34749
0.115475	281.461
#starting from: -8.48647	-8.49253
0.115475	338.009
#starting from: -7.49773	-7.17744
0.115475	338.009
#starting from: -7.84684	-7.27854
0.115475	237.479
#starting from: -7.9337	-8.38416
0.115475	287.744
#starting from: -7.34631	-7.98231
0.115475	262.611
#starting from: -8.05147	-8.22845
0.115475	212.346
#starting from: -7.81981	-7.95533
0.115475	840.664
#starting from: -7.84097	-8.36943
0.115475	463.673
#starting from: -7.49983	-8.50051
0.115475	338.009
#starting from: -8.17465	-7.64741
0.115475	312.877
#starting from: -7.17064	-8.54035
0.115475	388.275
#starting from: -7.3667	-8.16835
0.115475	381.992
#starting from: -8.22969	-8.95143
0.115475	338.009
#starting from: -7.715	-7.16154
0.115475	338.009
#starting from: -7.26666	-7.35391
0.115475	338.009
#starting from: -8.03633	-7.78333
0.115475	281.461
#starting from: -8.53862	-8.94945
0.115475	212.346
#starting from: -8.04043	-7.57416
0.115475	363.142
#starting from: -7.62824	-7.28734
0.115475	180.93
#starting from: -8.85155	-7.51032
0.115475	262.611
#starting from: -7.71418	-7.82759
0.115475	212.346
#starting from: -8.47806	-7.39375
0.115475	381.992
#starting from: -8.75289	-7.23383
0.115475	715.001
#starting from: -7.61679	-7.78261
0.115475	457.39
#starting from: -8.72556	-8.51811
0.115475	187.213
#starting from: -8.30438	-7.59326
0.115475	231.195
#starting from: -8.72039	-8.7486
0.115475	363.142
#starting from: -8.2409	-7.24458
0.115475	262.611
#starting from: -7.08126	-7.69939
0.115475	262.611
#starting from: -7.22844	-7.72964
0.115475	262.611
#starting from: -7.21748	-8.91514
0.115475	180.93
#starting from: -8.10104	-8.89974
0.115475	331.726
#starting from: -8.79883	-8.47373
0.115475	363.142
#starting from: -7.14157	-8.09257
0.115475	432.257
#starting from: -7.1156	-8.43222
0.115475	388.275
#starting from: -8.40163	-7.03072
0.115475	564.204
#starting from: -7.89614	-7.34166
0.115475	306.594
#starting from: -8.36377	-8.04272
0.115475	262.611
#starting from: -7.19871	-8.18765
0.115475	312.877
#starting from: -7.90175	-8.30983
0.115475	331.726
#starting from: -8.77199	-7.25534
0.115475	306.593
#starting from: -8.82049	-7.76423
0.115475	306.593
#starting from: -8.87722	-7.66469
0.115475	513.939
#starting from: -7.44246	-7.70396
0.115475	463.673
#starting from: -8.0173	-7.41493
0.115475	281.461
#starting from: -8.3064	-8.41739
0.115475	457.39
#starting from: -7.93566	-8.94656
0.115475	187.213
#starting from: -7.99088	-8.19466
0.115475	281.461
#starting from: -8.54891	-7.79103
0.115475	237.479
#starting from: -7.16157	-7.18136
0.115475	287.744
#starting from: -7.12558	-7.89013
0.115475	306.593
#starting from: -8.4943	-8.48306
0.115475	206.062
#starting from: -8.44288	-8.63655
0.115475	180.93
#starting from: -8.67075	-7.80728
0.115475	331.726
#starting from: -8.83862	-8.35111
0.115475	338.009
#starting from: -7.56587	-7.52997
0.115475	212.346
#starting from: -7.77863	-8.0202
0.115475	564.204
#starting from: -7.10299	-7.61039
0.115475	180.93
#starting from: -8.44775	-8.30301
0.115475	312.877
#starting from: -7.61433	-7.04897
0.115475	180.93
#starting from: -8.21634	-8.74796
0.115475	187.213
#starting from: -7.69983	-8.04801
0.115475	262.611
#starting from: -7.32817	-8.78348
0.115475	237.478
#starting from: -7.8865	-7.11481
0.115475	187.213
#starting from: -7.82316	-8.5299
0.115475	281.461
#starting from: -8.5416	-8.79776
0.114625	331.724
#starting from: -8.61127	-8.50826
0.114625	363.14
#starting from: -7.97046	-7.65182
0.114625	413.406
#starting from: -7.89396	-7.8066
0.114625	338.007
#starting from: -7.69575	-7.96901
0.114625	187.211
#starting from: -8.21371	-7.57622
0.114625	281.459
#starting from: -8.34318	-7.76417
0.114625	356.857
#starting from: -8.64798	-8.79319
0.114625	413.406
#starting from: -7.64819	-7.2813
0.114625	388.273
#starting from: -8.99161	-8.68892
0.114625	356.857
#starting from: -8.56078	-8.81414
0.114625	237.476
#starting from: -7.18325	-7.79663
0.114625	212.344
#starting from: -7.35996	-7.13141
0.114625	206.061
#starting from: -8.95131	-7.10482
0.114625	237.476
#starting from: -7.3885	-7.15462
0.114625	212.344
#starting from: -7.29453	-8.5424
0.114625	865.795
#starting from: -7.72322	-8.05475
0.114625	281.459
#starting from: -8.96599	-7.2332
0.114625	413.406
#starting from: -7.95995	-8.19546
0.114625	438.538
#starting from: -8.33489	-7.16568
0.114625	388.273
#starting from: -7.59252	-7.19752
0.114625	237.476
#starting from: -7.91731	-7.66346
0.114625	287.742
#starting from: -7.54095	-8.3383
0.114625	256.326
#starting from: -8.38187	-8.33625
0.114625	180.928
#starting from: -8.66103	-7.55286
0.114625	312.875
#starting from: -7.45166	-7.94987
0.114625	457.388
#starting from: -8.58144	-8.46206
0.114625	312.875
#starting from: -8.48241	-7.22915
0.114625	281.459
#starting from: -8.14632	-8.32661
0.114625	262.609
#starting from: -7.18785	-7.83969
0.114625	714.999
#starting from: -7.20819	-7.96868
0.114625	262.609
#starting from: -7.46492	-7.43362
0.114625	262.609
#starting from: -8.38818	-7.43274
0.114625	338.007
#starting from: -7.62509	-7.73
0.114625	262.609
#starting from: -7.29086	-7.70662
0.114625	438.538
#starting from: -8.00382	-7.79268
0.114625	256.326
#starting from: -7.50858	-7.63757
0.114625	513.936
#starting from: -7.81908	-7.86583
0.114625	539.069
#starting from: -7.48643	-7.91279
0.114625	488.804
#starting from: -8.23867	-7.59548
0.114625	331.724
#starting from: -8.57443	-7.22726
0.114625	532.786
#starting from: -8.36926	-7.83264
0.114625	287.742
#starting from: -7.32524	-7.29185
0.114625	338.008
#starting from: -8.09726	-7.28279
0.114625	438.538
#starting from: -7.28538	-7.39575
0.114625	413.406
#starting from: -7.00639	-7.09969
0.114625	262.609
#starting from: -7.76749	-7.50456
0.114625	306.591
#starting from: -8.42498	-7.38787
0.114625	231.193
#starting from: -8.90223	-7.20012
0.114625	438.538
#starting from: -7.5038	-8.56549
0.114625	413.406
#starting from: -8.01004	-8.01355
0.114625	363.14
#starting from: -7.07647	-7.81088
0.114625	306.592
#starting from: -8.42876	-7.81431
0.114625	312.875
#starting from: -7.56815	-7.627
0.114625	287.742
#starting from: -7.09649	-7.8788
0.114625	413.406
#starting from: -7.06264	-7.19275
0.114625	463.671
#starting from: -7.49716	-8.76783
0.114625	356.857
#starting from: -7.82678	-8.79538
0.114625	287.742
#starting from: -7.28357	-8.08718
0.114625	262.609
#starting from: -7.29397	-7.67813
0.114625	262.609
#starting from: -7.20915	-7.20065
0.114625	463.671
#starting from: -7.06252	-8.84737
0.114625	180.928
#starting from: -8.77168	-7.31111
0.114625	287.742
#starting from: -7.13232	-7.6425
0.114625	262.609
#starting from: -7.53757	-7.35311
0.114625	312.875
#starting from: -7.867	-7.41798
0.114625	237.476
#starting from: -7.14375	-8.56616
0.114625	338.007
#starting from: -7.06623	-7.01779
0.114625	262.609
#starting from: -8.83901	-8.90558
0.114625	256.326
#starting from: -8.4877	-8.10756
0.114625	287.742
#starting from: -7.44121	-7.86727
0.114625	363.14
#starting from: -7.60643	-7.89044
0.114625	187.211
#starting from: -8.98224	-8.32571
0.114625	356.857
#starting from: -8.76078	-8.69477
0.114625	583.052
#starting from: -8.35725	-8.764
0.114625	482.521
#starting from: -8.83476	-7.89582
0.114625	312.875
#starting from: -8.35511	-7.15071
0.114625	331.724
#starting from: -8.54305	-8.66985
0.114625	281.459
#starting from: -8.38478	-8.97843
0.114625	262.609
#starting from: -8.8007	-8.97306
0.114625	331.724
#starting from: -8.31149	-8.52035
0.114625	256.326
#starting from: -7.46996	-7.69821
0.114625	463.671
#starting from: -7.61116	-7.6199
0.114625	237.476
#starting from: -7.02775	-7.46697
0.114625	237.476
#starting from: -7.17058	-7.3608
0.114625	262.609
#starting from: -8.38568	-7.30986
0.114625	212.344
#starting from: -7.06579	-8.87485
0.114625	262.609
#starting from: -7.55017	-7.86317
0.114625	306.592
#starting from: -8.42531	-7.88612
0.114625	237.476
#starting from: -7.31384	-7.61344
0.114625	664.733
#starting from: -7.36569	-8.93084
0.114625	356.857
#starting from: -8.34896	-8.61477
0.114625	407.122
#starting from: -7.04588	-8.25246
0.114625	432.255
#starting from: -8.8476	-8.54338
0.114625	256.326
#starting from: -7.56738	-7.59698
0.114625	356.857
#starting from: -8.353	-7.56244
0.114625	256.326
#starting from: -7.316	-7.90749
0.114625	237.476
#starting from: -7.33412	-7.20383
0.114625	356.857
#starting from: -8.35916	-7.97666
0.114625	413.406
#starting from: -7.37732	-8.05287
0.114625	432.255
#starting from: -8.87732	-8.24533
0.114625	312.875
#starting from: -7.14153	-8.56553
0.114625	231.193
#starting from: -8.7551	-8.56303
0.114625	281.459
#starting from: -7.99114	-8.32073
0.114625	231.193
#starting from: -8.00265	-8.98664
0.114625	287.742
#starting from: -7.96297	-7.09927
0.114625	262.609
#starting from: -7.45359	-7.44343
0.114625	262.609
#starting from: -7.08915	-7.99904
0.114625	4177.03
#starting from: -8.20394	-8.99867
0.114625	262.609
#starting from: -8.93011	-8.92678
0.114625	262.609
#starting from: -7.58505	-8.05887
0.114625	331.724
#starting from: -8.65019	-8.71297
0.114625	187.211
#starting from: -8.10608	-7.74987
0.114625	381.99
#starting from: -8.8282	-7.49375
0.114625	212.344
#starting from: -7.34617	-8.5876
0.114625	231.193
#starting from: -8.99497	-7.06399
0.114625	180.928
#starting from: -7.96852	-8.90934
0.114625	306.592
#starting from: -8.1666	-7.95311
0.114625	312.875
#starting from: -7.82821	-8.05822
0.114625	287.742
#starting from: -7.90403	-7.92152
0.114625	212.344
#starting from: -7.46273	-8.208
0.114625	262.609
#starting from: -7.19919	-8.96234
0.114625	306.591
#starting from: -8.17893	-8.73483
0.114625	363.14
#starting from: -7.41578	-7.34733
0.114625	187.211
#starting from: -8.2251	-7.50381
0.114625	513.937
#starting from: -7.15419	-8.32915
0.114625	281.459
#starting from: -8.62901	-8.76333
0.114625	180.928
#starting from: -8.71119	-7.52904
0.114625	331.724
#starting from: -7.78868	-8.95892
0.114625	388.273
#starting from: -7.20032	-8.23974
0.114625	312.875
#starting from: -7.74492	-8.5694
0.114625	237.476
#starting from: -7.35835	-8.37945
0.114625	583.052
#starting from: -8.33179	-8.93324
0.114625	187.211
#starting from: -7.43706	-8.95111
0.114625	331.724
#starting from: -8.6827	-8.60639
0.114625	187.211
#starting from: -7.99085	-8.03632
0.114625	256.326
#starting from: -8.2081	-7.89342
0.114625	256.326
#starting from: -8.06175	-8.46583
0.114625	180.928
#starting from: -8.47839	-7.96005
0.114625	482.521
#starting from: -8.7699	-8.36176
0.114625	338.007
#starting from: -7.82342	-8.08726
0.114625	262.609
#starting from: -8.51364	-7.02655
0.114625	262.609
#starting from: -7.72846	-7.73303
0.114625	237.476
#starting from: -7.18752	-7.3638
0.114625	507.653
#starting from: -8.76422	-7.57837
0.114625	331.724
#starting from: -8.65199	-8.23848
0.114625	407.122
#starting from: -7.58312	-8.90726
0.114625	463.671
#starting from: -7.22258	-7.62652
0.114625	281.459
#starting from: -8.53529	-8.95048
0.114625	256.326
#starting from: -8.07492	-8.83197
0.114625	287.742
#starting from: -7.00074	-7.45026
0.114625	287.742
#starting from: -7.36341	-8.37126
0.114625	482.521
#starting from: -8.25582	-7.86695
0.114625	482.521
#starting from: -8.59586	-7.97194
0.114625	633.317
#starting from: -7.90269	-8.65024
0.114625	865.795
#starting from: -7.4377	-7.29086
0.114625	338.007
#starting from: -7.28985	-7.0246
0.114625	287.742
#starting from: -7.17854	-7.5881
0.114625	407.122
#starting from: -8.17617	-8.87299
0.114625	312.875
#starting from: -7.53544	-7.44959
0.114625	262.609
#starting from: -7.75389	-8.55543
0.114625	482.521
#starting from: -8.44954	-8.59914
0.114625	463.671
#starting from: -7.19777	-8.30599
0.114625	338.007
#starting from: -8.25194	-7.3032
0.114625	363.14
#starting from: -7.33177	-8.8033
0.114625	287.742
#starting from: -8.95103	-8.81335
0.114625	262.609
#starting from: -7.39263	-7.00345
0.114625	256.326
#starting from: -7.54134	-7.59725
0.114625	363.14
#starting from: -7.7396	-8.0217
0.114625	457.388
#starting from: -8.38267	-8.6974
0.114625	180.928
#starting from: -8.50297	-7.90288
0.114625	363.14
#starting from: -8.36839	-7.40945
0.114625	262.609
#starting from: -7.77171	-8.30566
0.114625	262.609
#starting from: -7.81112	-7.68512
0.114625	438.538
#starting from: -7.91299	-7.94944
0.114625	262.609
#starting from: -7.88828	-7.63002
0.114625	212.344
#starting from: -7.53399	-8.82278
0.114625	287.742
#starting from: -7.00391	-7.96756
0.114625	312.875
#starting from: -7.00994	-8.45483
0.114625	407.122
#starting from: -8.4648	-8.38525
0.114625	413.406
#starting from: -7.5827	-7.40593
0.114625	438.538
#starting from: -7.67421	-7.5117
0.114625	212.344
#starting from: -7.73028	-8.38321
0.114625	287.742
#starting from: -7.62378	-7.27979
0.114625	583.052
#starting from: -8.35276	-8.67813
0.114625	187.211
#starting from: -8.11217	-7.07686
0.114625	262.609
#starting from: -7.82682	-7.96544
0.114625	206.061
#starting from: -8.64855	-7.5085
0.114625	212.344
#starting from: -7.0275	-7.48385
0.114625	363.14
#starting from: -7.54641	-7.44976
0.114625	187.211
#starting from: -7.80622	-8.32834
0.114625	413.406
#starting from: -7.60738	-7.93815
0.114625	180.928
#starting from: -8.77251	-7.30895
0.114625	306.592
#starting from: -8.07196	-8.2799
0.114625	438.538
#starting from: -7.86713	-7.17647
0.114625	388.273
#starting from: -8.12415	-7.02191
0.114625	306.591
#starting from: -8.9526	-7.86375
0.114625	281.459
#starting from: -8.42516	-8.99179
0.114625	237.476
#starting from: -7.01392	-7.64256
0.114625	262.609
#starting from: -7.15276	-8.65188
0.114625	432.255
#starting from: -7.05539	-8.24876
0.114625	306.592
#starting from: -8.22241	-8.90171
0.114625	356.857
#starting from: -8.74549	-8.21504
0.114625	338.007
#starting from: -7.48075	-8.4853
0.114625	237.476
#starting from: -7.33062	-7.60384
0.114625	287.742
#starting from: -7.71347	-7.13217
0.114625	212.344
#starting from: -7.46185	-7.01484
0.114625	237.476
#starting from: -7.47705	-7.0833
0.114625	180.928
#starting from: -7.93213	-8.97602
0.114625	338.007
#starting from: -8.0168	-8.08757
0.114625	262.609
#starting from: -7.08578	-8.02834
0.114625	237.476
#starting from: -7.24908	-8.7349
0.114625	338.007
#starting from: -7.9393	-7.64309
0.114625	331.724
#starting from: -8.72126	-8.13906
0.114625	237.476
#starting from: -7.72318	-7.99826
0.114625	237.476
#starting from: -7.3199	-7.60634
0.114625	287.742
#starting from: -7.13895	-8.51967
0.114625	356.857
#starting from: -8.66078	-8.46122
0.114625	187.211
#starting from: -7.41327	-8.91826
0.114625	457.388
#starting from: -8.65742	-8.43359
0.114625	312.875
#starting from: -7.16868	-8.88159
0.114625	306.592
#starting from: -7.88074	-8.45429
0.114625	312.875
#starting from: -7.69174	-8.63607
0.114625	187.211
#starting from: -7.86489	-8.22022
0.114625	180.928
#starting from: -7.9068	-8.90078
0.114625	256.326
#starting from: -7.42313	-7.76458
0.114625	363.14
#starting from: -8.02263	-7.41726
0.114625	180.928
#starting from: -8.03095	-8.82122
0.114625	180.928
#starting from: -8.34645	-8.22616
0.114625	256.326
#starting from: -8.91516	-8.34599
0.114625	262.609
#starting from: -7.62624	-7.75121
0.114625	356.857
#starting from: -8.84819	-8.47144
0.114625	356.857
#starting from: -8.77737	-8.46038
0.114625	256.326
#starting from: -8.64962	-7.00558
0.114625	187.211
#starting from: -7.65049	-7.87919
0.114625	532.786
#starting from: -8.93453	-7.90075
0.114625	388.273
#starting from: -7.67793	-7.00492
0.114625	413.406
#starting from: -7.44971	-8.6572
0.114625	306.592
#starting from: -8.17305	-7.89262
0.114625	237.476
#starting from: -7.99355	-7.25307
0.114625	413.406
#starting from: -8.19629	-7.1852
0.114625	363.14
#starting from: -8.07243	-7.72253
0.114625	287.742
#starting from: -8.08888	-7.51712
0.114625	463.671
#starting from: -7.18086	-7.66281
0.114625	287.742
#starting from: -7.8556	-7.50403
0.114625	287.742
#starting from: -7.50495	-7.9677
0.114625	463.671
#starting from: -7.33107	-7.96113
0.114625	413.406
#starting from: -7.24702	-7.52611
0.114625	432.255
#starting from: -8.8621	-7.3718
0.114625	413.406
#starting from: -7.29907	-7.80016
0.114625	281.459
#starting from: -8.20368	-7.97085
0.114625	312.875
#starting from: -7.33176	-8.01176
0.114625	237.476
#starting from: -8.04887	-8.05595
0.114625	212.344
#starting from: -7.25129	-8.61675
0.114625	287.742
#starting from: -8.09607	-7.54638
0.114625	281.459
#starting from: -8.30178	-8.74197
0.114625	306.591
#starting from: -7.66152	-8.88747
0.114625	237.476
#starting from: -7.51128	-7.33405
0.114625	237.476
#starting from: -7.47759	-7.00825
0.114625	256.326
#starting from: -7.18573	-8.14788
0.114625	262.609
#starting from: -7.78816	-7.00565
0.114625	338.007
#starting from: -7.81502	-7.76751
0.114625	356.857
#starting from: -8.04382	-8.55473
0.114625	363.14
#starting from: -8.22766	-7.3883
0.114625	363.14
#starting from: -7.95868	-7.82531
0.114625	187.211
#starting from: -8.41851	-7.17753
0.114625	187.211
#starting from: -8.76034	-8.88937
0.114625	338.007
#starting from: -7.04398	-8.77193
0.114625	539.069
#starting from: -7.53174	-7.85825
0.114625	231.193
#starting from: -8.03113	-8.89388
0.114625	281.459
#starting from: -8.54011	-7.25851
0.114625	187.211
#starting from: -7.92017	-8.13622
0.114625	381.99
#starting from: -8.70712	-8.10036
0.114625	312.875
#starting from: -8.95203	-8.55058
0.114625	256.326
#starting from: -8.12359	-8.46712
0.114625	256.326
#starting from: -8.51789	-7.62089
0.114625	306.592
#starting from: -7.82844	-8.81406
0.114625	633.317
#starting from: -8.03097	-8.43956
0.114625	262.609
#starting from: -7.39494	-8.68202
0.114625	180.928
#starting from: -8.77817	-7.29533
0.114625	262.609
#starting from: -7.78537	-7.01632
0.114625	463.671
#starting from: -7.51598	-8.30349
0.114625	413.406
#starting from: -7.94695	-7.66214
0.114625	281.459
#starting from: -8.35492	-8.85101
0.114625	633.317
#starting from: -7.85522	-8.4641
0.114625	237.476
#starting from: -7.1065	-8.92504
0.114625	231.193
#starting from: -8.71897	-7.38074
0.114625	262.609
#starting from: -7.59696	-7.86859
0.114625	287.742
#starting from: -7.45812	-8.53153
0.114625	457.388
#starting from: -8.61079	-8.58971
0.114625	482.521
#starting from: -8.68674	-7.11764
0.114625	306.592
#starting from: -8.49346	-8.47143
0.114625	338.007
#starting from: -7.46158	-7.59899
0.114625	262.609
#starting from: -7.38743	-7.30049
0.114625	180.928
#starting from: -8.78307	-8.73885
0.114625	212.344
